ENTRY_PLATE,total_stays,centric_stays,duration,morn_stays,aft_stays,night_stays,stays_labo,stays_sat,stays_sun,recency,discount
010141730aaa1ae9f30ec4ed572865a007773ff6,1,0,0.9394444444444444,0,1,0,0,0,1,62,0.0
0101e78eb314f7c2aa2ea66b58d7d3fb78e7ecfb,12,4,0.6953240740740741,7,5,0,11,0,1,43,0.0
01037150e086cbd535011fc87c10c8e1358e12fc,2,2,0.5375,2,0,0,2,0,0,59,0.0
0103ac0361cc20a8948f8d1fefb268acf3850bfa,6,2,0.7207407407407408,4,2,0,6,0,0,43,50.83333333333334
0104861ce0e6f7b020369c3819c8e5a4cd5c41a7,1,1,0.7613888888888889,0,1,0,0,1,0,63,0.0
01052891359e2334eda8bae8ccb1af66d434a3f9,1,1,2.2697222222222218,0,0,1,0,1,0,62,0.0
010584cd395046b1811e2965031065d51653bd2d,1,1,1.7505555555555556,1,0,0,1,0,0,60,0.0
010776a2ecf9579924f7d3bbcfcf422612184bd9,1,0,0.5044444444444445,1,0,0,1,0,0,53,0.0
010a8d0a707cd0ad9a9c87aa4e364db9531868b1,1,1,0.5683333333333334,1,0,0,1,0,0,65,0.0
010c1687e449ea3a835019d1dc6862c42f7eacfa,1,1,0.6488888888888888,1,0,0,1,0,0,65,110.0
010e1b5d7829966b03883fa69025a8203c4c9ba5,1,1,2.5561111111111106,0,1,0,0,1,0,63,0.0
010f07b22058cdfb0e5e965e57227cfb8d9b2f99,19,16,2.9391666666666665,10,9,0,15,4,0,42,6.842105263157895
01104c8ceb83cc30896a2354f6b037ba5788c2a7,1,1,1.2647222222222223,0,1,0,1,0,0,64,200.0
011494c8ef56b95251dcb51a739a46859bdded7a,1,1,1.4752777777777777,0,1,0,1,0,0,58,0.0
0114ea4f255c8fdb47290e7a43e21389e701bb40,1,1,1.2616666666666667,0,1,0,1,0,0,45,0.0
011585203d32fc94077053bd35ed276dbd43ff27,1,0,1.3583333333333334,0,1,0,1,0,0,44,0.0
01176383c0a6b6121a178cc2082d75b05ed70d6c,18,0,8.350138888888889,16,2,0,15,1,2,40,0.0
0118c79894f2733b4ebc72d5c5c2a28ffad8e13c,1,1,0.8377777777777777,0,1,0,1,0,0,40,155.0
011ce414fb961de2bd75dfd044150a7118b749cc,1,1,0.5747222222222222,0,1,0,1,0,0,67,0.0
011e41fd970bba38f1c7e59089d409d10dde421c,1,0,1.3983333333333334,1,0,0,1,0,0,52,0.0
011ee5b9b1e91d3960f43c41e85bc53f9db58166,3,3,0.7037037037037037,3,0,0,3,0,0,50,0.0
011fba454427004ba6f4142e937b99da97c1a092,1,0,1.3836111111111111,1,0,0,1,0,0,57,0.0
01210abf59c2890c7dbfbfa81ed6cf27a958a579,3,2,1.2020370370370372,1,2,0,3,0,0,46,0.0
012127561579bd7b36676729d726c5bb13dd3870,1,1,0.5830555555555555,1,0,0,1,0,0,58,0.0
01227ac4e4283e8f6101917b378c5bf84b8a6d03,1,0,14.238888888888884,0,1,0,0,0,1,62,0.0
01247d1efb47702a3c44b9efb4b34a79533a8cbd,2,2,0.7654166666666666,1,1,0,2,0,0,44,115.0
0125067e78a6dd48b33dce222a2ad198037b7db9,1,1,0.4761111111111111,1,0,0,1,0,0,53,0.0
012a59d50acc300932252d0dff893b1e4273d84e,1,1,4.214722222222221,0,1,0,0,1,0,49,0.0
012c5b6664d5211ea6519c26665c18ce8a4d7030,1,0,1.5247222222222223,0,1,0,1,0,0,65,0.0
012c6f9fa5f8038b7119439fbfa98b1f4b756d48,1,0,1.4130555555555555,0,1,0,1,0,0,54,0.0
012d427cd61a0d7cc89aa48d0c6d6b38ccea972a,2,2,0.6784722222222221,2,0,0,2,0,0,43,40.0
012deed6fef9afd3b790101fdef1588e8b803025,1,1,3.4722222222222223,0,1,0,1,0,0,52,0.0
012df81f1ba12b4ce9a5e236f88707a695b4103c,1,1,0.3105555555555555,1,0,0,1,0,0,44,0.0
01318780ccba47921816525605245c09b6f451bf,1,1,1.2836111111111108,1,0,0,0,1,0,56,0.0
0131db991bb746bb043e68ea817bd93e2b01207b,1,1,0.4330555555555556,0,0,1,0,1,0,56,0.0
0132d28f91a528e4b8e66abafc0e9cf04e4adfa2,1,0,4.807777777777779,1,0,0,1,0,0,65,0.0
013c242454761c8af1b8a50742485373cff85d89,2,1,0.9790277777777778,2,0,0,2,0,0,44,0.0
013c5db3388968aca08dd0350913345545303d8e,1,1,1.6922222222222223,0,1,0,1,0,0,65,0.0
0140536829fc9b35c455896ac6f5886c26bee3ff,4,0,0.9827083333333332,1,3,0,4,0,0,44,0.0
01427736fbd2a80c05cb06d53b74f57c74afd74d,2,0,1.1333333333333333,1,1,0,0,2,0,42,0.0
01430f5f361864b9bed54af82477a1af52ef3185,1,1,1.0438888888888889,0,1,0,1,0,0,59,0.0
014333de2b7318e4a23881be477332ab86b6bd2e,1,1,0.9230555555555556,1,0,0,1,0,0,40,0.0
